,freqs,usess,value
361,"1668,40 – 1670,00",MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,1
362,"1668,40 – 1670,00",RADIOASTRONOMIE,1
363,"1668,40 – 1670,00",5.149  5.341  5.379D  5.379E,1
364,"1670,00 – 1675,00",FIX,1
365,"1670,00 – 1675,00","AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",1
366,"1670,00 – 1675,00",MOBIL,1
367,"1670,00 – 1675,00","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.379B",1
368,"1670,00 – 1675,00",5.341  5.379D  5.379E  5.380A,1
369,"1675,00 – 1690,00",FIX,1
370,"1675,00 – 1690,00","AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",1
371,"1675,00 – 1690,00","MOBIL cu excepţia mobil
aeronautic",1
372,"1675,00 – 1690,00",5.341,1
373,"1675,00 – 1690,00",ECA36,1
374,"1690,00 – 1700,00",AUXILIAR METEOROLOGIC,1
375,"1690,00 – 1700,00","METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",1
376,"1690,00 – 1700,00",FIX,1
377,"1690,00 – 1700,00","MOBIL cu excepţia mobil
aeronautic",1
378,"1690,00 – 1700,00",5.289  5.341  5.382,1
379,"1690,00 – 1700,00",ECA36,1
380,"1700,00 – 1710,00","FIX
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)
MOBIL cu excepţia mobil
aeronautic
5.289  5.341
ECA36",1
381,"1710,00 – 1785,00",MOBIL  5.384A,1
382,"1710,00 – 1785,00",5.149  5.341  5.385  5.387,1
383,"1710,00 – 1785,00",134,1
384,"1785,00 – 1800,00","FIX
MOBIL  5.384A",1
385,"1785,00 – 1800,00",5.387,1
386,"1785,00 – 1800,00",ECA36,1
387,"1800,00 – 1805,00","FIX
MOBIL  5.384A
ECA36",1
388,"1805,00 – 1880,00",MOBIL  5.384A,1
389,"1880,00 – 1885,00","FIX
MOBIL  5.384A",1
